title,artist,mental_health_tags,mood_score,energy,valence,tempo,spotify_url,preview_url,duration_ms,popularity,id
Lo-Fi Study,LO-FI BEATS,anxiety relief|emotional release,0.5,0.5,0.5,100,https://open.spotify.com/track/7x5N9G19t3DBolIrxhqKom,,160299,19,7x5N9G19t3DBolIrxhqKom
Cultural Diversity,Gingerboi,grief support|mindfulness,0.5,0.5,0.5,100,https://open.spotify.com/track/19XSUuO6wENBlkjyfPjc4q,,165590,20,19XSUuO6wENBlkjyfPjc4q
Enchanted,Sátyr,anxiety relief|heartbreak,0.5,0.5,0.5,100,https://open.spotify.com/track/1Y1epT6oyfI62WIxZT69WG,,202611,43,1Y1epT6oyfI62WIxZT69WG
Lo-Fi Study Flow,Lofi Hip-Hop Beats,mindfulness|emotional release,0.5,0.5,0.5,100,https://open.spotify.com/track/2EgC9oAvzXPwWdqk1iZPzU,,136759,11,2EgC9oAvzXPwWdqk1iZPzU
Omo Poly,Naijareins Worldwide,mindfulness|heartbreak,0.5,0.5,0.5,100,https://open.spotify.com/track/20areBduhKqWfxgfhCvh5T,,134070,3,20areBduhKqWfxgfhCvh5T
Inception,Team Astro,emotional release|sleep aid,0.5,0.5,0.5,100,https://open.spotify.com/track/38VFmwW0XaAVCU4SY8DGDG,,175384,44,38VFmwW0XaAVCU4SY8DGDG
Lo-Fi Study Vibes - Chill Beats for Focus and Relaxation,Chae,grief support|mindfulness,0.5,0.5,0.5,100,https://open.spotify.com/track/14nmpEXd63B8aNf7W6zWcH,,152040,14,14nmpEXd63B8aNf7W6zWcH
Indigenius,Davolee,meditation|grief support,0.5,0.5,0.5,100,https://open.spotify.com/track/4uA8fK1T1DyN49BJuafZV6,,294988,5,4uA8fK1T1DyN49BJuafZV6
no way but up,Phresh Milk,loneliness|sleep aid,0.5,0.5,0.5,100,https://open.spotify.com/track/4M7gbh6sluTRP6BXnYpzyz,,106494,45,4M7gbh6sluTRP6BXnYpzyz
Lofi Romance,a girl and a cat,anxiety relief|emotional release,0.5,0.5,0.5,100,https://open.spotify.com/track/4v06i3ZB2vzVmw5QcentaH,,259183,0,4v06i3ZB2vzVmw5QcentaH
Algoritmo (Cherry Cherry Boom Boom Version),Shaggy,grief support|mindfulness,0.5,0.5,0.5,100,https://open.spotify.com/track/6O6HNFjbSKUbLQ2Mnk87Gt,,197198,2,6O6HNFjbSKUbLQ2Mnk87Gt
Let's Puddle,Lime Nyorobon,anxiety relief|grief support,0.5,0.5,0.5,100,https://open.spotify.com/track/6yMtuNltStGSJyv6LLytcE,,132214,46,6yMtuNltStGSJyv6LLytcE
Lofi Lullabies,a girl and a cat,anxiety relief|heartbreak,0.5,0.5,0.5,100,https://open.spotify.com/track/6HDH1PPe7MOHeLvUDn3oCE,,246938,1,6HDH1PPe7MOHeLvUDn3oCE
Laid Back (Raw),Wicked Penman,anxiety relief|grief support,0.5,0.5,0.5,100,https://open.spotify.com/track/56NYrri20ZaGpLUTXhUoA8,,195653,0,56NYrri20ZaGpLUTXhUoA8
Transformational,Zupa Fitz,anxiety relief|emotional release,0.5,0.5,0.5,100,https://open.spotify.com/track/6ryGqXtiG3azBVqCFBHIM8,,211572,44,6ryGqXtiG3azBVqCFBHIM8
Lofi Background Beats,a girl and a cat,grief support|mindfulness,0.5,0.5,0.5,100,https://open.spotify.com/track/0qaDBLiElDNaAagBPzoLOC,,275510,1,0qaDBLiElDNaAagBPzoLOC
Laid Back,Wicked Penman,grief support|mindfulness,0.5,0.5,0.5,100,https://open.spotify.com/track/4VcvDAOt4qauCG8GxhCrrt,,195658,0,4VcvDAOt4qauCG8GxhCrrt
Carpe Diem,Dinis,anxiety relief|heartbreak,0.5,0.5,0.5,100,https://open.spotify.com/track/4IEvn9Zeh2wjqWt7lhFRIZ,,145600,47,4IEvn9Zeh2wjqWt7lhFRIZ
Lofi for Partying,a girl and a cat,anxiety relief|emotional release,0.5,0.5,0.5,100,https://open.spotify.com/track/0IUA0DbSDp5hreUIVIMGfp,,240816,2,0IUA0DbSDp5hreUIVIMGfp
Tip Toe,Scruphé,mindfulness|heartbreak,0.5,0.5,0.5,100,https://open.spotify.com/track/2fUIpCRKSYPK2YwfGn6hDZ,,152500,9,2fUIpCRKSYPK2YwfGn6hDZ
Marbles,Maggotts&Becketts,anxiety relief|loneliness,0.5,0.5,0.5,100,https://open.spotify.com/track/4JwQjAOrGDCQEpySgCAEtl,,131124,47,4JwQjAOrGDCQEpySgCAEtl
Lofi HipHop Vibes,a girl and a cat,anxiety relief|emotional release,0.5,0.5,0.5,100,https://open.spotify.com/track/0x0evSFCp089RHAscqn4Xr,,263265,1,0x0evSFCp089RHAscqn4Xr
Louie V (Dont Worry Bout Dem),Vybz Kartel,meditation|loneliness,0.5,0.5,0.5,100,https://open.spotify.com/track/26JgYaHWclISQo8gx2HRP4,,177027,10,26JgYaHWclISQo8gx2HRP4
Couch Vibes,Tune in with Chewie,meditation|heartbreak,0.5,0.5,0.5,100,https://open.spotify.com/track/2xJKFoxhnWsG2vPxqZJxFL,,154330,41,2xJKFoxhnWsG2vPxqZJxFL
Christian Lo-Fi Beats for Bible Study & Focus,LOFI Worship,anxiety relief|grief support,0.5,0.5,0.5,100,https://open.spotify.com/track/0UPlbajGsT5YqKYDJSk4ZZ,,123024,2,0UPlbajGsT5YqKYDJSk4ZZ
Static,Alkaline,heartbreak|sleep aid,0.5,0.5,0.5,100,https://open.spotify.com/track/30OaDvU7L0CjE4amrbRNi9,,156951,32,30OaDvU7L0CjE4amrbRNi9
i'm alone out here,Tibeauthetraveler,meditation|grief support,0.5,0.5,0.5,100,https://open.spotify.com/track/3Kvlt95kJXpEzxi01mC2WW,,159040,45,3Kvlt95kJXpEzxi01mC2WW
Lo-Fi Psalms for the Soul – Peaceful Study & Sleep,Spirit LoFi,meditation|loneliness,0.5,0.5,0.5,100,https://open.spotify.com/track/1j9vt5Ik2t7Vb3y7XALnzY,,131928,0,1j9vt5Ik2t7Vb3y7XALnzY
Okay,Romieikon,meditation|grief support,0.5,0.5,0.5,100,https://open.spotify.com/track/4o9RNCHy0ePjK6JtF4phwb,,175000,1,4o9RNCHy0ePjK6JtF4phwb
In Comparison With,State Artefact,anxiety relief|grief support,0.5,0.5,0.5,100,https://open.spotify.com/track/2kRqoND9nTZ6ShVTWPQ3Y6,,202066,46,2kRqoND9nTZ6ShVTWPQ3Y6
Lofi Study Beats,Lofi Radiance,meditation|loneliness,0.5,0.5,0.5,100,https://open.spotify.com/track/4lO9D7ckCyAoLiIpl57dSq,,128000,24,4lO9D7ckCyAoLiIpl57dSq
Louie V (Don't Worry Bout Dem),Vybz Kartel,anxiety relief|grief support,0.5,0.5,0.5,100,https://open.spotify.com/track/1HlfrSdGkg7QrFAAz1wM3f,,188397,24,1HlfrSdGkg7QrFAAz1wM3f
Trust Spring,ATONED,meditation|heartbreak,0.5,0.5,0.5,100,https://open.spotify.com/track/79SRBZJ8mQo6cxpqNRjfv3,,133124,42,79SRBZJ8mQo6cxpqNRjfv3
LoFi Study,Lofi Sleep Chill & Study,anxiety relief|emotional release,0.5,0.5,0.5,100,https://open.spotify.com/track/1nKETQ6WH0MAxikqQb1nmm,,117073,27,1nKETQ6WH0MAxikqQb1nmm
Louie V (Don't Worry Bout Dem),Vybz Kartel,meditation|loneliness,0.5,0.5,0.5,100,https://open.spotify.com/track/0MhUztDPV1ltKNyu7kphFH,,188397,0,0MhUztDPV1ltKNyu7kphFH
rolling,Collinsworthy,anxiety relief|emotional release,0.5,0.5,0.5,100,https://open.spotify.com/track/6b0G1mrrgS9isDGFnd8yCd,,128660,45,6b0G1mrrgS9isDGFnd8yCd
LoFi Chill,Lofi Sleep Chill & Study,anxiety relief|loneliness,0.5,0.5,0.5,100,https://open.spotify.com/track/2K6wrt7ZioOcElW1U2BORI,,180705,26,2K6wrt7ZioOcElW1U2BORI
Stand Alone,Jah Vinci,anxiety relief|loneliness,0.5,0.5,0.5,100,https://open.spotify.com/track/42SiGeux99gzgW8W67hW7g,,230192,0,42SiGeux99gzgW8W67hW7g
looking back,nearly monday,mindfulness|heartbreak,0.5,0.5,0.5,100,https://open.spotify.com/track/0dxMj3mOuLH0igqGZQYEPe,,130145,47,0dxMj3mOuLH0igqGZQYEPe
LoFi Beats,Study + Chill LoFi,anxiety relief|emotional release,0.5,0.5,0.5,100,https://open.spotify.com/track/5obAnT6bbksAk5Q1bbZqv1,,162077,25,5obAnT6bbksAk5Q1bbZqv1
Louie V (Don't Worry Bout Dem),Vybz Kartel,grief support|mindfulness,0.5,0.5,0.5,100,https://open.spotify.com/track/2DWKoSdhwqdDuVjVMMcfUv,,188397,7,2DWKoSdhwqdDuVjVMMcfUv
Worcestershire dreaming,Low Couture,anxiety relief|loneliness,0.5,0.5,0.5,100,https://open.spotify.com/track/7qdmi4ASzlDenOqt5hG587,,126857,44,7qdmi4ASzlDenOqt5hG587
Study Corral (Lo-Fi),The McCluer Brothers,mindfulness|emotional release,0.5,0.5,0.5,100,https://open.spotify.com/track/6y53GusrMdV25DQdy4hwrs,,117585,19,6y53GusrMdV25DQdy4hwrs
Affi Get Rich,YK Kastro,anxiety relief|emotional release,0.5,0.5,0.5,100,https://open.spotify.com/track/645lV6G0TrncVnGt1gXeyX,,170396,26,645lV6G0TrncVnGt1gXeyX
maple syrup,Slacker Jack's,grief support|mindfulness,0.5,0.5,0.5,100,https://open.spotify.com/track/2RHglN6UQBJ3tpDSdkpZmn,,137750,42,2RHglN6UQBJ3tpDSdkpZmn
Tranquil Lofi Melodies,a girl and a cat,grief support|sleep aid,0.5,0.5,0.5,100,https://open.spotify.com/track/6eORBRFPdHMFk7b6dlMfaP,,285714,0,6eORBRFPdHMFk7b6dlMfaP
Downtown Kingston,Vybz Kartel,mindfulness|heartbreak,0.5,0.5,0.5,100,https://open.spotify.com/track/3zd3mzV5CjkmkSmofg3onU,,190772,7,3zd3mzV5CjkmkSmofg3onU
Legacy,Phlocalyst,anxiety relief|heartbreak,0.5,0.5,0.5,100,https://open.spotify.com/track/3vjocFB78Hp6WttnDBLwNw,,116486,38,3vjocFB78Hp6WttnDBLwNw
Chill Study Sessions,a girl and a cat,meditation|heartbreak,0.5,0.5,0.5,100,https://open.spotify.com/track/0ep6QMItT3ZclLGhbEptdX,,187755,2,0ep6QMItT3ZclLGhbEptdX
Louis V,Worl' Boss,emotional release|sleep aid,0.5,0.5,0.5,100,https://open.spotify.com/track/6GPPrYpCkgdOs9IgZSU6U1,,176352,4,6GPPrYpCkgdOs9IgZSU6U1
Calming Classical Music,Relaxing Piano,anxiety relief|emotional release,0.5,0.5,0.5,100,https://open.spotify.com/track/1IT49v3IRTWKN2me4POskd,,137142,19,1IT49v3IRTWKN2me4POskd
"Suite bergamasque, L. 75: III. Clair de lune",Claude Debussy,anxiety relief|emotional release,0.5,0.5,0.5,100,https://open.spotify.com/track/1cmigB9I6IRpFqjIbzvSQB,,294960,62,1cmigB9I6IRpFqjIbzvSQB
Bounce & Boogie,Greg & Steve,anxiety relief|loneliness,0.5,0.5,0.5,100,https://open.spotify.com/track/3cm3nuiORoPzg3TFAwgZGy,,229013,4,3cm3nuiORoPzg3TFAwgZGy
